type,price,position,capital,stop_loss,take_profit,reason,profit
buy,103975.75,0.070303679129895,3654.9388826450904,100856.4775,110214.29500000001,signal,
close_long,103765.79,,10950.05568746516,,,signal,-14.760960470113206
buy,103798.54,0.07032889985713454,3650.018562488385,100684.5838,110026.4524,signal,
close_long,103635.86,,10938.6145820364,,,signal,-11.441105428758156
buy,103685.24,0.07033218731381245,3646.2048606788003,100574.68280000001,109906.35440000001,signal,
close_long,103939.31,,10956.48388086722,,,signal,17.869298830819798
buy,103984.13,0.07024459008547566,3652.1612936224064,100864.6061,110223.1778,signal,
close_long,103857.14,,10947.563520372263,,,signal,-8.920360494954922
buy,103957.38,0.07020545997069352,3649.1878401240874,100838.6586,110194.82280000001,signal,
close_long,103921.41,,10945.038229977117,,,signal,-2.5252903951459276
buy,104002.52,0.07015880147248431,3648.346076659038,100882.44440000001,110242.67120000001,signal,
close_long,103920.63,,10939.292925724536,,,signal,-5.7453042525816995
buy,103962.87,0.07014871704179602,3646.430975241512,100843.98389999999,110200.6422,signal,
close_long,104111.12,,10949.692473025982,,,signal,10.39954730144626
buy,104343.95,0.06995896726180408,3649.897491008661,101213.63149999999,110604.587,signal,
close_long,103980.34,,10924.254692939918,,,signal,-25.43778008606462
buy,104163.94,0.06991706018378284,3641.4182309799726,101039.0218,110413.7764,signal,
close_long,103953.2,,10909.520371676786,,,signal,-14.734321263130761
buy,103895.13,0.0700034119127418,3636.5067905589285,100778.2761,110128.83780000001,signal,
close_long,103888.89,,10909.083550386451,,,signal,-0.4368212903358756
buy,103952.38,0.06996205730858977,3636.3611834621497,100833.8086,110189.5228,signal,
close_long,103953.52,,10909.163307131783,,,signal,0.07975674533175162
buy,103965.02,0.06995406280004424,3636.3877690439276,100846.06940000001,110202.92120000001,signal,
close_long,104401.35,,10939.686363353327,,,signal,30.523056221543424
buy,104444.45,0.06982778158375627,3646.562121117774,101311.11649999999,110711.117,signal,
close_long,104380.95,,10935.252299222757,,,signal,-4.434064130568523
buy,103997.55,0.07009942252949072,3645.0840997409186,100877.6235,110237.403,signal,
close_long,103890.89,,10927.77549481576,,,signal,-7.476804406995726
buy,104209.08,0.06990929833763533,3642.591831605252,101082.8076,110461.6248,signal,
close_long,103948.14,,10909.533362507536,,,signal,-18.242132308222725
buy,104053.91,0.06989667415353917,3636.511120835845,100932.2927,110297.14460000001,signal,
close_long,104000.01,,10905.76593177066,,,signal,-3.7674307368763715
buy,103089.19,0.07052641136457122,3635.255310590219,99996.5143,109274.5414,signal,
close_long,102397.01,,10856.94896035233,,,signal,-48.81697141832944
buy,102904.76,0.07033655171605493,3618.98298678411,99817.6172,109079.0456,signal,
close_long,100766.79,,10706.571522879956,,,signal,-150.37743747237406
buy,101630.59,0.07023194835911745,3568.857174293318,98581.67229999999,107728.42540000001,signal,
close_long,102260.01,,10750.776915816152,,,signal,44.20539293619558
buy,102593.87,0.06985977437583847,3583.592305272049,99516.0539,108749.5022,signal,
close_long,102261.21,,10727.537363272286,,,signal,-23.239552543865653
buy,102499.99,0.06977260754381398,3575.8457877574283,99424.9903,108649.9894,signal,
close_long,102095.46,,10699.312250342588,,,signal,-28.225112929698987
buy,102067.99,0.06988356323624796,3566.437416780863,99005.9503,108192.06940000001,signal,
close_long,101602.31,,10666.768872614732,,,signal,-32.54337772785648
buy,101842.29,0.06982540601168553,3555.5896242049103,98787.0213,107952.8274,signal,
close_long,104140.79,,10827.26256833259,,,signal,160.4936957178592
buy,104185.92,0.06928167496678113,3609.0875227775286,101060.3424,110437.0752,signal,
close_long,104013.7,,10815.330878269811,,,signal,-11.931690062779127
buy,104091.83,0.06926788188384438,3605.1102927566026,100969.0751,110337.3398,signal,
close_long,103983.03,,10807.794532720849,,,signal,-7.53634554896247
buy,103920.76,0.06933356102425765,3602.5981775736154,100803.1372,110156.0056,signal,
close_long,103761.9,,10796.780203216535,,,signal,-11.014329504313611
buy,103708.57,0.06940461592336124,3598.9267344055106,100597.3129,109931.08420000001,signal,
close_long,103554.4,,10786.080093579629,,,signal,-10.700109636905491
buy,103600.0,0.06940849481067972,3595.3600311932096,100492.0,109816.0,signal,
close_long,103569.03,,10783.930512495343,,,signal,-2.1495810842868317
buy,103636.55,0.06937018849363692,3594.643504165115,100527.4535,109854.743,signal,
close_long,103525.63,,10776.235971187629,,,signal,-7.694541307714086
